Loading python/3.11.6--gcc--8.5.0
  Loading requirement: bzip2/1.0.8-gp5wcz5 libmd/1.0.4-wja3f5q
    libbsd/0.11.7-cgxjopl expat/2.5.0-bptl3xw ncurses/6.4-asx3jea
    readline/8.2-nyw6mp6 gdbm/1.23-fs6otck libiconv/1.17-d7yvx2s
    xz/5.4.1-hubmwr5 zlib-ng/2.1.4-6htiapk libxml2/2.10.3-5eeeokp
    pigz/2.7-bopr5vp zstd/1.5.5-gawytfl tar/1.34-amqus5s gettext/0.22.3-2g7elif
    libffi/3.4.4-6r7brdq libxcrypt/4.4.35-ss2rzin sqlite/3.43.2
    util-linux-uuid/2.38.1-jkdi7kv
tokens per iteration will be: 524,288
Training DataLoader: total number of tokens: 5000000000 across 50 files
Validation DataLoader: total number of tokens: 100000000 across 1 files
Initializing a new model from scratch
num decayed parameter tensors: 51, with 193,658,880 parameters
num non-decayed parameter tensors: 98, with 158,208 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: val loss 10.9773
iter 45: loss 7.6911, time 1530.28ms, lr 0.0002754491017964072, norm:  0.5341, tok/sec: 342609.4372480605
iter 46: loss 7.6571, time 1530.41ms, lr 0.000281437125748503, norm:  0.5835, tok/sec: 342580.98870912363
iter 47: loss 7.5490, time 1531.15ms, lr 0.0002874251497005988, norm:  0.4730, tok/sec: 342414.5554001895
iter 48: loss 7.5677, time 1531.20ms, lr 0.0002934131736526946, norm:  0.4567, tok/sec: 342402.5592494192
iter 49: loss 7.5040, time 1531.27ms, lr 0.0002994011976047904, norm:  0.4401, tok/sec: 342388.59145750274
iter 50: loss 7.4835, time 1531.40ms, lr 0.0003053892215568862, norm:  0.7200, tok/sec: 342358.3140505698
iter 51: loss 7.3082, time 1532.14ms, lr 0.000311377245508982, norm:  0.3970, tok/sec: 342194.1204470107
iter 52: loss 7.6483, time 1531.69ms, lr 0.00031736526946107786, norm:  0.4386, tok/sec: 342294.2054596516
iter 53: loss 7.2987, time 1532.09ms, lr 0.00032335329341317366, norm:  0.3206, tok/sec: 342203.4393574922
iter 54: loss 7.5356, time 1531.66ms, lr 0.00032934131736526946, norm:  0.3386, tok/sec: 342300.06642823695
iter 55: loss 7.5022, time 1531.75ms, lr 0.0003353293413173653, norm:  0.4121, tok/sec: 342281.15220547986
iter 56: loss 7.4977, time 1531.94ms, lr 0.0003413173652694611, norm:  0.4072, tok/sec: 342238.5362667073
iter 57: loss 7.1002, time 1532.22ms, lr 0.0003473053892215569, norm:  0.4243, tok/sec: 342175.2179304765
iter 58: loss 7.4927, time 1532.30ms, lr 0.0003532934131736527, norm:  0.4098, tok/sec: 342158.2340701664
iter 59: loss 7.4113, time 1532.09ms, lr 0.0003592814371257485, norm:  0.3223, tok/sec: 342204.9836831106
iter 60: loss 7.4035, time 1531.78ms, lr 0.0003652694610778443, norm:  0.2873, tok/sec: 342272.68144260417
iter 61: loss 7.6456, time 1532.04ms, lr 0.0003712574850299401, norm:  0.4655, tok/sec: 342214.56946423213
iter 62: loss 7.4430, time 1532.13ms, lr 0.00037724550898203595, norm:  0.3586, tok/sec: 342195.4516888622
iter 63: loss 7.4601, time 1532.44ms, lr 0.00038323353293413174, norm:  0.5594, tok/sec: 342126.08115941397
iter 64: loss 7.4359, time 1532.10ms, lr 0.00038922155688622754, norm:  0.5744, tok/sec: 342203.27960046515
iter 65: loss 7.4001, time 1532.27ms, lr 0.0003952095808383234, norm:  0.6972, tok/sec: 342165.04870813445
iter 66: loss 7.5309, time 1532.43ms, lr 0.0004011976047904192, norm:  1.3124, tok/sec: 342129.5942628632
iter 67: loss 7.7259, time 1532.46ms, lr 0.000407185628742515, norm:  0.9389, tok/sec: 342120.8648661768
iter 68: loss 7.4208, time 1532.65ms, lr 0.00041317365269461084, norm:  0.7786, tok/sec: 342078.34204236814
iter 69: loss 7.4065, time 1532.17ms, lr 0.0004191616766467066, norm:  0.5550, tok/sec: 342186.7189312061
iter 70: loss 7.5720, time 1532.60ms, lr 0.0004251497005988024, norm:  0.7367, tok/sec: 342091.3266145793
iter 71: loss 7.3578, time 1531.87ms, lr 0.0004311377245508982, norm:  0.5238, tok/sec: 342253.77024602634
iter 72: loss 7.2720, time 1531.94ms, lr 0.00043712574850299403, norm:  0.5538, tok/sec: 342238.0568977592
iter 73: loss 7.4173, time 1532.43ms, lr 0.0004431137724550898, norm:  0.4262, tok/sec: 342129.4878041229
iter 74: loss 7.3777, time 1533.51ms, lr 0.0004491017964071856, norm:  0.4446, tok/sec: 341887.0934947923
iter 75: loss 7.2413, time 1532.90ms, lr 0.0004550898203592815, norm:  0.3788, tok/sec: 342024.4453207616
iter 76: loss 7.3283, time 1532.07ms, lr 0.00046107784431137727, norm:  0.4945, tok/sec: 342208.8179311167
iter 77: loss 7.3308, time 1532.22ms, lr 0.00046706586826347307, norm:  0.3825, tok/sec: 342176.0165861029
iter 78: loss 7.3102, time 1532.53ms, lr 0.00047305389221556887, norm:  0.5087, tok/sec: 342105.962047642
iter 79: loss 7.2160, time 1532.37ms, lr 0.00047904191616766467, norm:  0.4118, tok/sec: 342141.94392634457
iter 80: loss 7.2091, time 1532.64ms, lr 0.00048502994011976046, norm:  0.4811, tok/sec: 342081.85416546755
iter 81: loss 7.4889, time 1532.09ms, lr 0.0004910179640718563, norm:  0.7462, tok/sec: 342205.2499475571
iter 82: loss 7.5464, time 1533.16ms, lr 0.0004970059880239521, norm:  0.9264, tok/sec: 341965.7794547764
iter 83: loss 7.4031, time 1532.83ms, lr 0.0005029940119760479, norm:  0.5305, tok/sec: 342038.5962212523
iter 84: loss 7.2864, time 1533.52ms, lr 0.0005089820359281438, norm:  0.4315, tok/sec: 341885.0205030896
iter 85: loss 7.3439, time 1533.09ms, lr 0.0005149700598802396, norm:  0.4025, tok/sec: 341980.9891609191
iter 86: loss 7.1598, time 1533.06ms, lr 0.0005209580838323354, norm:  0.3537, tok/sec: 341987.26488849684
iter 87: loss 7.0962, time 1533.01ms, lr 0.0005269461077844312, norm:  0.3763, tok/sec: 341998.64688041125
iter 88: loss 7.2044, time 1533.08ms, lr 0.000532934131736527, norm:  0.3891, tok/sec: 341983.38241968956
iter 89: loss 7.1365, time 1532.64ms, lr 0.0005389221556886227, norm:  0.3435, tok/sec: 342081.80095094314
iter 90: loss 7.1746, time 1532.89ms, lr 0.0005449101796407187, norm:  0.3758, tok/sec: 342026.46680628584
iter 91: loss 7.3948, time 1532.70ms, lr 0.0005508982035928145, norm:  0.5420, tok/sec: 342069.24278617196
iter 92: loss 7.0813, time 1532.96ms, lr 0.0005568862275449102, norm:  0.4697, tok/sec: 342009.284940957
iter 93: loss 7.0968, time 1532.98ms, lr 0.000562874251497006, norm:  0.3991, tok/sec: 342005.5615444864
iter 94: loss 7.2982, time 1533.01ms, lr 0.0005688622754491018, norm:  0.2876, tok/sec: 341999.07239012676
iter 95: loss 7.0618, time 1533.12ms, lr 0.0005748502994011976, norm:  0.3358, tok/sec: 341973.54368117644
iter 96: loss 7.1770, time 1533.30ms, lr 0.0005808383233532933, norm:  0.2599, tok/sec: 341935.2045940429
iter 97: loss 7.0725, time 1533.43ms, lr 0.0005868263473053892, norm:  0.3477, tok/sec: 341904.7946784691
iter 98: loss 7.2469, time 1533.82ms, lr 0.000592814371257485, norm:  0.4591, tok/sec: 341819.01683569094
iter 99: loss 6.6353, time 1533.33ms, lr 0.0005988023952095808, norm:  0.3798, tok/sec: 341927.38894194574
iter 100: loss 7.2902, time 1533.38ms, lr 0.0006047904191616766, norm:  0.7151, tok/sec: 341917.4470981249
